ÃÄ«~¥N½X,ÃÄ«~¾Ç¦W,ÃÄ«~¦WºÙ,ÃÄ«~¤ÀÃþ,¾AÀ³¯g,¸T§Ò,°Æ§@¥Î,Àx¦s,¥Îªk¥Î¶q,¨x¥\¯à²§±`(Y/N),¨x¥\¯à²§±`»¡©ú,µÇ¥\¯à²§±`(Y/N),Ãh¥¥¥ÎÃÄ¦MÀI¤À¯Å,¥¥´Á¥ÎÃÄ«ØÄ³,¥¥´Áªþ±a»¡©ú,­÷¨Å´Á¥ÎÃÄ«ØÄ³,­÷¨Å´Áªþ±a»¡©ú,µ¹ÃÄ³~®|,°®¯»µ}ÄÀ²G,¿éª`ÂIºw²G,IVP¥Îªk«ØÄ³,IVD¥Îªk«ØÄ³,ª`·N¨Æ¶µ
OEZE,Ezetimibe,Ezetrol 10mg,CAVS,,¾AÀ³¯g:¬°­°¦å¯×ÃÄ(B024058100),,RT,10 mg once daily.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
OELME,Dihydroergotoxine,Elmesatt 2mg,CAVS,,¾AÀ³¯g:Adjunct in treating symptoms of mild to moderate dementia in the elderly °Æ§@¥Î: Abdominal cramps¡A nausea¡A vomiting¡A headache¡A blurred vision¡A skin rashes¡A nasal congestion¡A flushing of the skin¡A dizziness¡A bradycardia¡A & orthostatic hypotension ¸T§Ò: Severe bradycardia.,,«Ç·Å,Should be taken with food 1 tab tid.,,,,¨S¦³¸ê®Æ,,,Contraindicated ­÷¨Å´Á¨Ï¥Î¸T§Ò,,,,,,,
OCHA1,Varenicline,CHAMPIX 1mg,ZADT,Aid to smoking cessation treatment.,,Nausea¡A sleep disturbance¡A constipation¡A flatulence¡A vomiting. Diarrhea¡A gingivitis¡A chest pain¡A flu-like illness¡A edema¡A thirst¡A abnormal liver function test¡A increased weight¡A arthralgia¡A back pain¡A muscle cramp¡A musculoskeletal pain¡A myalgia¡A attention disturbance¡A dizziness¡A sensory disturbance¡A anxiety¡A depression¡A emotional disorder¡A irritability¡A restlessness¡A polyuria¡A menstrual disorder¡A epistaxis¡A respiratory disorders¡A hyperhidrosis¡A hot flush¡A HTN. Gastrointestinal: Constipation (5% to 8% )¡A Flatulence (6% to 9% )¡A Nausea (16% to 40% )¡A Vomiting (1% to 5% ) Neurologic: Dream disorder (9% to 13% )¡A Headache (15% to 19% )¡A Insomnia (18% to 19% ),25¢J,"Days 1-3: 0.5 mg once daily.Days 4-7: 0.5 mg twice daily.Days 8 and later (maintenance): 1 mg twice daily. Continue maintenance dose for at least 11 weeks to 1 year (for a total of at least 12 weeks of treatment).Approaches to selecting a tobacco quit date: May either choose a fixed quit date (ie¡A start varenicline¡A then quit on day 8) or a flexible quit date (ie¡A start varenicline¡A then quit between days 8-35). Alternatively¡A consider a gradual quit date (ie¡A start varenicline and reduce smoking 50% by week 4¡A reduce an additional 50% by week 8¡A and continue reducing with a goal of complete abstinence by week 12) followed by a maintenance dose for 12 weeks (for a total of at least 24 weeks of treatment).",µL»Ý½Õ¾ã¾¯¶q,,»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,,,No (Limited) Human Data - Potential Toxicity µL(«Ü¤Ö)¸ê®Æ - Á×§K¨Ï¥Î,,AC;AC15;PC;PO;WM;,,,,,
EAZE,Azelastine,Azela nasal spray 100dose,TENT,,¾AÀ³¯g: Allergic rhinitis. °Æ§@¥Î: Rarely¡A irritation of inflamed nasal mucosa on spraying. Improper administration may produce a taste disturbance. Gastrointestinal: Abnormal taste in mouth¡A Bitter (nasal¡A 4% to 19.7%; ophthalmic¡A approximately 10% ) Neurologic: Headache (nasal¡A 1% to 14.8%; ophthalmic¡A approximately 15% )¡A Somnolence (up to 11.5% ) Ophthalmic: Burning sensation in eye (ophthalmic¡A 30% ) Respiratory: Epistaxis (1% to 7% )¡A Nasal irritation (nasal¡A 1% to 4% )¡A Pharyngitis (nasal¡A 3.8%; ophthalmic¡A 1% to 10% )¡A Rhinitis (adults nasal¡A 2.3%; children nasal¡A 17%; ophthalmic¡A 1% to 10% )¡A Sneezing (3.1% ) Other: Fatigue (nasal¡A 2% to 2.3%; ophthalmic¡A 1% to 10% ),,«Ç·Å,>6 ys 1 puff into each nostril bid.,,,,°£«DªvÀø¤W»Ý­n,,,,,,,,,,
EPAT,NaCl + KCl + Boric Acid,Patear eye lotion 10mL,TOPH,Dry eyes¡A eye wash solution.,People with a history of allergy to the ingredients of this medicine.,Occasional eye redness¡A swelling¡A burning¡A and stinging sensation.,25¢J¥H¤U,Usually 2-3 drops at a time¡A apply 5-6 times a day.,µL»Ý½Õ¾ã¾¯¶q,,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Uknown ¨S¦³¸ê®Æ,,Unknown ¨S¦³¸ê®Æ,,OD;OL;OU;,,,,,
OCON1,Bisoprolol,Concor 1.25mg±dªÖ¿õ,CAVS,1.25 mg & 2.5 mg tab Stable chronic moderate to severe heart failure. 5 mg & 10 mg tab Management of hypertension¡A angina pectoris & stable¡A chronic moderate to severe heart failure (NYHA class III¡A IV).,Acute heart failure or during episodes of heart failure decompensation requiring IV inotropic therapy¡A cardiogenic shock¡A AV block of grades II & III (without pacemaker)¡A sick sinus syndrome¡A SA block¡A bradycardia with < 60 beats/min; severe bronchial asthma or severe COPD¡A hypotension (systolic BP < 100 mmHg)¡A advanced stages of peripheral arterial circulatory disturbance & Raynaud's syndrome¡A untreated pheochromocytoma¡A metabolic acidosis.,Feeling of coldness or numbness in the extremities¡A nausea¡A vomiting¡A diarrhea¡A constipation. Tiredness¡A exhaustion¡A dizziness¡A headache (occur at the beginning of the therapy & usually disappear within 1-2 weeks). Gastrointestinal: Diarrhea (2.6% to 3.5% ) Neurologic: Headache (8.8% to 10.9% ) Respiratory: Rhinitis (2.9% to 4% )¡A Upper respiratory infection (4.8% to 5% .) Other: Fatigue (6.6% to 8.2%),25¢J¥H¤U,Stable mild to server chronic heart failure: Patient must be treated at optimal dose with an ACE inhibitor¡A a diuretic¡A & optionally cardiac glycosides¡A prior to the administration of bisoprolol. Titrate gradually as follows: Week 1: 1.25 mg QD. Week 2: 2.5 mg QD. Week 3: 3.75 mg QD. Week 4-7: 5 mg QD. Week 8-11: 7.5 mg QD. Week 12 and beyond: 10 mg QD as maintenance therapy. Maximum: 10 mg daily.,µL»Ý½Õ¾ã¾¯¶q,«ØÄ³ªì©l¾¯¶q: 2.5 mg ORALLY once daily ³Ì°ª¾¯¶q:10 mg ORALLY once daily,µL»Ý½Õ¾ã¾¯¶q,¨S¦³¸ê®Æ,Human data suggest risk in 2nd and 3 rd trimesters,[¥é³æ] Ãh¥¥´Á¶¡¡A±dªÖ¥²¶·¸g¹LÂå®v¤p¤ßµû¦ô¨ä§Q¯q»P­·ÀI«á¤~¯à¨Ï¥Î¡C¤@¯ë»¡¨Ó¡A£]-ªýÂ_¾¯·|­°§C­L½Lªº¦å¬y¶q¡A¦]¦¹¦³¥i¯à·|¼vÅT­L¨àªºµo¨|¡C¦b³oºØ±¡ªp¤U¡AÀ³ºÊ´ú­L½L¤Î¤l®cªº¦å¬y¶q»P­L¨àªº¥Íªøµo¨|ª¬ªp¡A­Y¹ïÃh¥¥¤Î­L¨à³y¦¨¤£¨}¼vÅT¡A«hÀ³¦Ò¼{§ï¥Î¨ä¥Lªº´À¥N©ÊªvÀø¡C ·s¥ÍÀ¦¨à¦b¥X¥Í«áÀ³¤©¥HÄY±KºÊ´ú¡C³q±`¦å¿}­°§C¤Î¯ß·i´î½wªº¯gª¬¦³¥i¯à¦b¥X¥Í«áªº 3 ¤Ñ¤º¥X²{¡C,No (Limited) Human Data - Potential Toxicity µL(«Ü¤Ö)¸ê®Æ - Á×§K¨Ï¥Î,[¥é³æ] ¥Ø«e©|µL¦³Ãö bisoprolol fumarate ¤Àªc©ó¥À¨Å¤ÎÀ¦¨àÄá¨ú bisoprolol fumarate ªº¦w¥þ©Ê¼Æ¾Ú¡C ¦]¦¹¡A¤£«ØÄ³©ó±Â¨Å´Á¶¡ªA¥Î¡C,AC;AC15;PC;PO;WM;,,,,,
IHEP,Heparin,Heparin inj 25KIU/5mL,HEMT,,¾AÀ³¯g: Unstable angina; Venous thromboembolism; Peripheral arterial embolism¡A Prevention of re-occlusion of the coronary arteries following thrombolytic therapy ¡A Venous thromboembolism ¡AProphylaxis of post-op venous thromboembolism¡A Prevention of mural thrombosis °Æ§@¥Î:Slight fever¡A headache¡A chills¡A nausea¡A vomiting¡A constipation¡A epistaxis¡A bruising¡A slight haematuria¡A skin necrosis (SC inj)¡A osteoporosis¡A alopecia. Hypersensitivity reactions include urticaria¡A conjunctivitis¡A rhinitis¡A asthma¡A angioedema and anaphylactic shock. Priapism. Potentially Fatal: Heparin-induced thrombocytopenia with or without thrombosis; bleeding Dermatologic: Erythema¡A Injection site ulcer¡A After deep subcutaneous injection Hematologic: Hematoma¡A Heparin-induced thrombocytopenia (up to 30% ) Neurologic: Pain (Mild) Other: Irritation symptom¡A Local ¸T§Ò: Patients predisposed to active bleeding including thrombocytopenia¡A peptic ulcer disease¡A cerebrovascular disorders¡A haemorrhagic blood disorders¡A bacterial endocarditis¡A severe hypertension¡A oesophageal varices. Recent surgery at sites where haemorrhage would be an especial risk. Severe renal and hepatic impairment. Cerebral or subarachnoid haemorrhage¡A abdominal or thoracic bleeding into closed space¡A severe traumatic bleed¡A hepatic¡A renal¡A splenic or arterial injury¡A severe haemostatic defect¡A arterial thrombosis with heparin-associated thrombocytopenia. IM admin.,,15-30¢J,IV Unstable angina; Venous thromboembolism; Peripheral arterial embolism Loading dose: 5¡A000 u¡A then 1¡A000-2¡A000 u/hr. Prevention of re-occlusion of the coronary arteries following thrombolytic therapy in MI 5¡A000 u¡A then 1¡A000 u/hr w/ alteplase. SC Venous thromboembolism 15¡A000 u 12 hrly. Prophylaxis of post-op venous thromboembolism 5¡A000 u 2 hr before surgery¡A then 8-12 hrly for 7 days or until patient is ambulant. Prevention of mural thrombosis 12¡A500 u 12 hrly for at least 10 days,,,,°£«DªvÀø¤W»Ý­n,,,Compatible ­÷¨Å®É¥i¨Ï¥Î,,,,,,,1.¥¼µ}ÄÀ¥ç¥i¨Ï¥Î
IHBIG,Hepatitis B Immune Globulin,HBIG (B¨x§K¬Ì²y³J¥Õ¡A¬F©²´£¨Ñ) 0.5mL/dose,HIMM,Prophylaxis of hepatitis B.,Severe platelet deficiency or other coagulation disorders.,Occasionally temporary tenderness at inj site¡A skin reactions & elevations of temperature.,2-8¢JÁ×§K§N­á,IM¡A acute exposure to blood containing HBsAg 0.06 mL/kg within 24 hours. Prophylaxis of infants born to HBsAg & HBeAg postive mothers 0.5 mL to be given within 12 hours of birth. Sexual exposure to an HBsAg postive person 0.06 mL/kg as a single dose within 14 days of sexual contact. Household exposure to persons with acute HBV infection Infants < 12 months 0.5 mL.,µL»Ý½Õ¾ã¾¯¶q,There are no dosage adjustments provided in the manufacturer¡¦s labeling.,µL»Ý½Õ¾ã¾¯¶q,°£«DªvÀø¤W»Ý­n,Compatible,[¥é³æ]¥¥°ü¨Ï¥Î«á¬O§_·|¶Ë®`­L¨à¡B©Î¼vÅT¥Í´Þ¯à¤O¤]¤£¤Ó²M·¡¡A°ß¦³©ú½T»Ý­n®É¤~¥i§ë»P¡C,No (Limited) Human Data - Probably Compatible µL(«Ü¤Ö)¸ê®Æ - ¥i¨Ï¥Î,,IM;,,,,,
ODAL3,Flurazepam,Dalmadorm 30mg,CNEU,,,,,,,,,,,,,,,,,,,
OPROG,Progesterone,Progeffik 100mg,HM,,¾AÀ³¯g: Progesterone eficiency¡A Luteal insufficiency: premenstrual syndrome¡A benign mastopathy¡A menstrual irregularities¡A Prevention of endometrial hyperplasia in non-hysterectomized postmenopausal women who are receiving conjugated estrogen HRT ¡A Oocyte donation programme from the day of transfer till pregnancy is confirmed¡A Luteal support in IVF or embryo transfer starting with the day of inj of hCG up to the 12th week of pregnancy¡A Repeated abortions up to the 12th week of pregnancy. °Æ§@¥Î: Abdominal pain¡A perineal pain¡A headache¡A constipation¡A diarrhea¡A nausea¡A joint pain¡A depression¡A decreased libido¡A nervousness¡A somnolence¡A breast tenderness & pain¡A dyspareunia¡A nocturia¡A allergy¡A bloating¡A cramps¡A fatigue¡A pain¡A dizziness¡A vomiting¡A genital moniliasis & pruritus¡A aggressive reactions¡A forgetfulness¡A vag dryness¡A cystitis¡A UTI¡A vag discharge. Gastrointestinal: Abdominal pain (oral¡A 10% to 20%; vaginal gel¡A 5% to 12%; vaginal insert¡A 12% )¡A Constipation (vaginal gel¡A 27%; vaginal insert¡A 2% to 3% )¡A Nausea (oral¡A 8%; vaginal gel¡A 6% to 22%; vaginal insert; 7% to 8% ) Immunologic: Viral disease (oral¡A 7% to 12% ) Musculoskeletal: Cramp (vaginal gel¡A 15% to 26% ) Neurologic: Dizziness (oral¡A 15% to 24%; vaginal gel¡A 5% )¡A Headache (oral¡A 10% to 31%; vaginal gel¡A 13% to 19%¡A vaginal insert¡A 3% to 4% )¡A Sleep disorder (vaginal gel¡A 18% )¡A Somnolence (vaginal gel¡A 27% ) Psychiatric: Depression (oral¡A 19%; vaginal gel¡A 11% to 19% )¡A Feeling nervous (vaginal gel¡A 16% )¡A Mood swings (oral¡A 6%; vaginal gel¡A 22% to 23% ) Reproductive: Breast tenderness (oral¡A 16% to 27% )¡A Large breast (vaginal gel¡A 40% )¡A Pain¡A Post-oocyte retrieval (vaginal insert¡A 25% to 28% )¡A Pain of breast (oral¡A 6% to 16%; vaginal gel¡A 13% )¡A Perineal pain (vaginal gel¡A 17% ) Other: Fatigue (oral¡A 8% to 9%; vaginal gel¡A 21% to 22%; vaginal insert¡A 2% to 3% ) ¸T§Ò: Undiagnosed vag bleeding; known or suspected malignancy of breast or genital organs; severe liver dysfunction or disease; thrombophlebitis¡A thromboembolic disorders¡A cerebral apoplexy or patients with a history of these conditions; missed abortion; as a diagnostic test for pregnancy.,,«Ç·Å,Revention: 200-400 mg q8h on the 1st day¡A then 100-200 mg q8h afterward till 36th week of pregnancy. Supplement: 100-200 mg hs x 10-14 days (may give an extra 100 mg in the morning if needed) starting from the 12th day of the menstrual cycle.,,,,¥i¯à¦w¥þ,,,,,,,,,,
